brand_name,product_name,price_before,price_after,image_url
OLANLY,"OLANLY Bathroom Rugs 30x20, Extra Soft Absorbent Chenille Bath Rugs, Rubber Backing Quick Dry, Machine Washable Bath Mats for Bathroom Floor, Tub and Shower, Home Decor Accessories, Grey",,S$24.28,https://m.media-amazon.com/images/I/914ufIDbM1L._AC_UL320_.jpg
wet n wild,"Silk Finish Lipstick, Hydrating Rich Buildable Lip Color, Formulated with Vitamins A,E, & Macadamia for Ultimate Hydration, Cruelty-Free & Vegan - In The Near Fuchsia",S$4.12,S$4.12,https://m.media-amazon.com/images/I/71sc83FSRdL._AC_UL320_.jpg
Crest,"Crest 3D White Advanced Luminous Mint Teeth Whitening Toothpaste, Crest Toothpaste, 3.7 oz Pack of 4 - Helps Remove Surface Stains, Whitens Teeth, Strengthens Tooth Enamel, Protects Against Cavities",S$1.90,S$28.09,https://m.media-amazon.com/images/I/814q0uGYu1L._AC_UL320_.jpg
ACT II,"ACT II Butter Lovers Microwave Popcorn, 3-Count 2.75-oz. Bags",,,https://m.media-amazon.com/images/I/81MqGUOj5fL._AC_UL320_.jpg
BYkooc,"BYkooc 8 pieces Paring Knives (4PCS Peeling Knives and 4PCS Knife Sheath), Ultra Sharp Vegetable and Fruit Knife,German Steel Small Kitchen Knife with PP Plastic Ergonomic Handle",,S$15.95,https://m.media-amazon.com/images/I/515n99jx74L._AC_UL320_.jpg
Bluegoog,3 Pieces Bohemian Turquoise Necklace for Women Western Jewelry Boho Turquoise Necklace Set Turquoise Pendant Long Choker Vintage Turquoise Alloy Dangle Earrings Turquoise Layered Bracelets,,S$24.48,https://m.media-amazon.com/images/I/51wCbdncJ7L._AC_UL320_.jpg
wet n wild,"Color Icon Cream Eyeliner Eyeshadow Multi-Stick, Moisturizing, Nourishing Velvety Cream-to-Powder Buildable & Blendable Formula, Cruelty-Free & Vegan - Brown Sugar",S$5.76,S$18.44,https://m.media-amazon.com/images/I/81OWU2iKxUL._AC_UL320_.jpg
Bauducco,"Bauducco Vanilla Wafers - Crispy Wafer Cookies With 3 Delicious, Indulgent, Decadent Layers of Vanilla Flavored Cream - Delicious Sweet Snack or Desert - 5.0 oz (Pack of 1)",,,https://m.media-amazon.com/images/I/51W8nWc1GPL._AC_UL320_.jpg
OLANLY,"OLANLY Bathroom Rugs Mat 30x20, Extra Soft Absorbent Microfiber Bath Rugs, Rubber Backing, Quick Dry, Machine Washable Bath Mats for Bathroom Floor, Tub and Shower, Home Decor Accessories, Grey",,S$23.98,https://m.media-amazon.com/images/I/81A8ELzT-SL._AC_UL320_.jpg
RUNBOX,Slim Wallets for Men - Leather Money Clip Mens Wallet - RFID Blocking Front Pocket Bifold Wallet - Minimalist Credit Card Holder with Gift Box,,S$37.58,https://m.media-amazon.com/images/I/816Id2H8RPL._AC_UL320_.jpg
e.l.f.,"Monochromatic Multi Stick for Eye, Lip, & Cheek, Glistening Peach, 0.155 oz",,,https://m.media-amazon.com/images/I/61UIOqEnGkL._AC_UL320_.jpg
